"cidade" "ano" "homic" "furto" "roubo" "veicu"
"9792" "Serra Azul" 2017 1 105 8 8
"9809" "Serra Negra" 2017 0 295 17 44
"9826" "Serrana" 2017 2 370 58 50
"9843" "Sertãozinho" 2017 9 1 323 329
"9860" "Sete Barras" 2017 1 139 10 8
"9877" "Severínia" 2017 0 84 14 14
"9894" "Silveiras" 2017 0 48 6 3
"9911" "Socorro" 2017 1 287 30 40
"9928" "Sorocaba" 2017 56 7 3 2
"9945" "Sud Mennucci" 2017 1 74 1 0
"9962" "Sumaré" 2017 32 2 1 927
"9979" "Suzanápolis" 2017 0 27 1 4
"9996" "Suzano" 2017 37 2 2 1
"10013" "Tabapuã" 2017 2 81 3 3
"10030" "Tabatinga" 2017 1 103 5 9
"10047" "Taboão da Serra" 2017 19 1 2 1
"10064" "Taciba" 2017 2 35 1 1
"10081" "Taguaí" 2017 0 86 9 6
"10098" "Taiaçu" 2017 2 46 6 5
"10115" "Taiúva" 2017 1 57 3 4
"10132" "Tambaú" 2017 2 258 17 30
"10149" "Tanabi" 2017 1 303 17 32
"10166" "Tapiraí" 2017 1 86 5 4
"10183" "Tapiratiba" 2017 0 74 12 15
"10200" "Taquaral" 2017 0 17 2 1
"10217" "Taquaritinga" 2017 2 519 49 34
"10234" "Taquarituba" 2017 2 242 12 11
"10251" "Taquarivaí" 2017 0 28 2 4
"10268" "Tarabaí" 2017 0 79 0 5
"10285" "Tarumã" 2017 0 108 17 11
"10302" "Tatuí" 2017 7 957 220 198
"10319" "Taubaté" 2017 41 3 1 732
"10336" "Tejupá" 2017 0 37 0 0
"10353" "Teodoro Sampaio" 2017 2 264 6 21
"10370" "Terra Roxa" 2017 1 47 5 10
"10387" "Tietê" 2017 2 295 111 57
"10404" "Timburi" 2017 0 11 0 0
"10421" "Torre de Pedra" 2017 0 7 0 1
"10438" "Torrinha" 2017 1 71 4 5
"10455" "Trabiju" 2017 0 13 2 0
"10472" "Tremembé" 2017 15 345 117 65
"10489" "Três Fronteiras" 2017 0 88 2 3
"10506" "Tuiuti" 2017 0 54 4 9
"10523" "Tupã" 2017 4 541 20 32
"10540" "Tupi Paulista" 2017 4 95 4 1
"10557" "Turiúba" 2017 0 31 1 0
"10574" "Turmalina" 2017 0 11 0 0
"10591" "Ubarana" 2017 0 87 2 3
"10608" "Ubatuba" 2017 14 1 384 88
"10625" "Ubirajara" 2017 0 47 2 1
"10642" "Uchôa" 2017 0 93 3 9
"10659" "União Paulista" 2017 0 7 0 0
"10676" "Urânia" 2017 1 46 6 5
"10693" "Uru" 2017 0 19 0 0
"10710" "Urupês" 2017 2 71 2 11
"10727" "Valentim Gentil" 2017 1 168 7 9
"10744" "Valinhos" 2017 1 872 194 279
"10761" "Valparaíso" 2017 3 131 8 5
"10778" "Vargem Grande do Sul" 2017 3 378 19 27
"10795" "Vargem Grande Paulista" 2017 5 301 190 130
"10812" "Vargem" 2017 1 78 10 12
"10829" "Várzea Paulista" 2017 10 675 401 271
"10846" "Vera Cruz" 2017 2 88 6 4
"10863" "Vinhedo" 2017 6 691 115 89
"10880" "Viradouro" 2017 1 170 29 23
"10897" "Vista Alegre do Alto" 2017 0 80 9 6
"10914" "Vitória Brasil" 2017 0 10 0 0
"10931" "Votorantim" 2017 11 956 219 162
"10948" "Votuporanga" 2017 6 1 85 100
"10965" "Zacarias" 2017 1 33 1 2
